Ngay,Gia mo cua,Gia cao nhat,Gia thap nhat,Gia dong cua,Khoi luong giao dich
5/17/2022,20475,22341,20093,22341,2212800
5/16/2022,21767,21767,20858,20906,2348100
5/13/2022,21911,22006,20380,20380,2327900
5/12/2022,23872,24303,21911,21911,1880500
5/11/2022,23681,23776,23059,23537,1005000
5/10/2022,22772,23872,22485,23681,1743200
5/9/2022,25164,25259,23872,23872,2121400
5/6/2022,26503,26982,25642,25642,1482000
5/5/2022,27556,27556,26312,26982,1271800
5/4/2022,27651,27651,26838,26838,1411500
4/29/2022,27173,27986,27173,27604,1750200
4/28/2022,27843,27986,27364,27508,1095000
4/27/2022,27221,28034,26599,27843,1290600
4/26/2022,25355,27269,24494,27269,2034200
4/25/2022,27747,28704,26264,26264,3146500
4/22/2022,29756,30330,27173,28225,4598400
4/21/2022,30187,31526,29039,29182,4404800
4/20/2022,33201,33966,31144,31144,2849300
4/19/2022,35401,35401,33488,33488,2944000
4/18/2022,34110,35593,34110,35210,5974700
4/15/2022,33057,34923,33009,34445,4280600
4/14/2022,33296,33918,32914,33057,1543100
4/13/2022,31574,33249,31526,33009,2263400
4/12/2022,33344,33584,31574,31574,2770000
4/8/2022,34923,35019,33296,33344,2763400
4/7/2022,35401,36167,34732,34732,3503800
4/6/2022,34445,35401,34445,35401,3663300
4/5/2022,34636,35784,34445,34827,3270100
4/4/2022,33488,34923,33344,34923,6226000
4/1/2022,32627,33249,32340,33057,1687200
3/31/2022,32388,33009,32340,32531,1177200
3/30/2022,32818,33296,32340,32388,1489600
3/29/2022,32483,33201,32483,33009,1184300
3/28/2022,32675,33201,32340,32388,2268400
3/25/2022,33392,33392,32914,33201,1121600
3/24/2022,33584,33918,33296,33392,1920500
3/23/2022,33584,33918,33201,33871,1848200
3/22/2022,33296,33871,33153,33153,1610600
3/21/2022,32866,33153,32340,33105,1452200
3/18/2022,32722,32722,32435,32531,1033100
3/17/2022,32531,32722,32244,32340,1030400
3/16/2022,32627,32914,32148,32244,1256100
3/15/2022,31766,32531,31766,32388,980100
3/14/2022,33009,33009,31431,31909,2343200
3/11/2022,33966,34253,32962,33009,2598600
3/10/2022,34636,34780,33966,34014,1417000
3/9/2022,34780,35019,33775,34445,2164200
3/8/2022,34923,36167,34540,34732,3784500
3/7/2022,34445,35306,34158,35162,3258000
3/4/2022,34827,35162,34158,34445,3156700
3/3/2022,34301,34732,34158,34732,2748400
3/2/2022,34540,34684,33823,33871,3342300
3/1/2022,32722,34301,32722,34158,4755600
2/28/2022,32818,32818,32053,32675,1904200
2/25/2022,32722,33009,32531,32531,1513200
2/24/2022,32770,33296,30713,32244,3123100
2/23/2022,32818,33871,32531,32770,2385600
2/22/2022,33057,33057,32148,32770,1517100
2/21/2022,32053,33201,32053,33105,2336200
2/18/2022,32292,32435,32005,32148,1587500
2/17/2022,32531,32866,32292,32531,1407900
2/16/2022,32531,32531,32196,32292,760900
2/15/2022,31670,32148,31670,31909,828900
2/14/2022,32292,32531,31766,31861,1298600
2/11/2022,31670,33009,31670,32483,1516300
2/10/2022,31718,32244,31383,32148,1461300
2/9/2022,31766,31957,31383,31670,1144600
2/8/2022,30904,31861,30713,31574,1165800
2/7/2022,30617,30809,30330,30809,865400
1/28/2022,29374,29852,29230,29852,953700
1/27/2022,29661,30043,29374,29374,689000
1/26/2022,30426,30474,29661,29661,1067300
1/25/2022,27938,29996,27938,29900,1582600
1/24/2022,31000,31096,28847,28847,2226300
1/21/2022,31574,31909,31000,31000,1766000
1/20/2022,31000,31479,30426,31096,1480700
1/19/2022,30330,31192,29756,30426,1832900
1/18/2022,31000,31574,29756,29756,3015900
1/17/2022,34158,34349,31813,31813,4515200
1/14/2022,33679,34732,33679,34158,1715400
1/13/2022,35497,35880,33966,33966,3388200
1/12/2022,35210,35401,33536,35401,4421100
1/11/2022,35975,36358,35210,35210,3313500
1/10/2022,36932,37506,36071,36071,4463100
1/7/2022,36837,37698,36550,36837,2825500
1/6/2022,36358,37650,36167,36932,4158700
1/5/2022,35975,37028,35593,36741,5641500
1/4/2022,35593,36310,35401,35975,2270100
31/12/2021,35593,35784,35258,35354,2201800
30/12/2021,35306,35832,35258,35401,2411500
29/12/2021,35975,36263,35210,35306,6193900
28/12/2021,36932,37315,36071,36215,4212400
27/12/2021,37219,37506,36454,36932,2820200
24/12/2021,37411,38511,37124,37363,3948200
23/12/2021,37650,38080,36789,37315,4304200
22/12/2021,36263,38224,36071,37315,7915900
21/12/2021,35880,36645,35497,36071,2771400
20/12/2021,36550,36597,35832,35975,2413700
17/12/2021,36358,37315,36263,36597,2993100
16/12/2021,36358,36741,36071,36215,1839200
15/12/2021,36358,37171,36023,36119,2642000
14/12/2021,36837,37363,35880,36502,2725500
13/12/2021,36358,37219,35975,36837,2819000
10/12/2021,35688,36358,35688,35880,2200700
12/9/2021,35401,36119,35114,35736,1708200
12/8/2021,35354,36645,35067,35401,1842600
12/7/2021,34923,35401,34588,35019,1453800
12/6/2021,34923,35593,33727,34445,2713300
12/3/2021,36693,37315,34923,34923,3246500
12/2/2021,36454,38080,36406,36980,2665700
12/1/2021,36932,37315,36358,36837,1971900
30/11/2021,35688,37650,35688,37124,7476800
29/11/2021,34445,35401,34349,35210,2720900
26/11/2021,36263,36358,35114,35354,3374000
25/11/2021,35880,36837,35784,36167,2641900
24/11/2021,35928,36310,35401,35593,2877700
23/11/2021,33679,35880,33679,35880,2446700
22/11/2021,35449,36071,34062,34062,5199800
19/11/2021,38176,38367,35497,36071,6321200
18/11/2021,38080,38894,37985,38128,4020700
17/11/2021,37650,39133,37315,38272,3340300
16/11/2021,38702,38702,37459,37650,5487500
15/11/2021,39707,39851,38272,38750,6689500
12/11/2021,40185,40472,39037,39611,3128700
11/11/2021,39468,40951,38702,40090,7313900
10/11/2021,38942,39994,38367,39324,4584700
11/9/2021,39037,39420,38607,38846,4012200
11/8/2021,38655,39707,38463,38942,4444000
11/5/2021,38463,38942,38176,38367,4309200
11/4/2021,38176,39133,37602,38224,4403300
11/3/2021,41429,41429,37602,37602,7021300
11/2/2021,37506,40281,37315,40281,8464100
11/1/2021,38080,38272,37315,37650,5673900
29/10/2021,38750,39133,37841,38080,4829000
28/10/2021,38272,39133,37506,38320,4907300
27/10/2021,37889,39037,37554,38272,6488400
26/10/2021,37602,37889,36932,37746,3019900
25/10/2021,37124,38511,36645,37602,8793200
22/10/2021,35545,36789,35497,36645,5277400
21/10/2021,36167,36167,35306,35497,2745600
20/10/2021,35832,36167,35497,35880,2869200
19/10/2021,36167,36167,35593,35880,3834600
18/10/2021,36550,37124,36167,36215,4123800
15/10/2021,36932,37315,36167,36550,3711500
14/10/2021,36215,37124,35975,36741,4981300
13/10/2021,36071,36071,35641,35880,2503600
12/10/2021,35969,35969,35452,35593,4797100
11/10/2021,35781,36064,35404,35593,2921200
10/8/2021,36064,36205,35357,35452,3436200
10/7/2021,36064,36346,35593,35969,4038000
10/6/2021,35452,36111,35357,35640,2934200
10/5/2021,35169,35687,34981,35310,3060400
10/4/2021,34180,35357,33992,34934,3511500
10/1/2021,33662,34322,33427,33992,2728400
9/30/2021,34322,34369,33804,33804,1718800
9/29/2021,33615,34463,33615,33898,3525300
9/28/2021,33098,33945,32909,33710,4567000
9/27/2021,35216,35310,33521,33521,3941900
9/24/2021,35169,35781,34839,34839,2891500
9/23/2021,35781,36252,34839,35028,3709300
9/22/2021,34369,35028,34180,34839,3555500
9/21/2021,34651,35169,33286,34275,6765800
9/20/2021,36440,36723,35216,35216,4251400
9/17/2021,36252,36864,35781,36299,3726500
9/16/2021,35875,36534,35875,36158,2233900
9/15/2021,35263,36534,35263,36252,2574700
9/14/2021,35310,36064,34934,35781,3672700
9/13/2021,36911,37005,35310,35499,7507800
9/10/2021,37664,37664,36911,37005,3419300
9/9/2021,36770,37617,36629,37617,4012200
9/8/2021,36629,37382,36252,36723,4272900
9/7/2021,37005,37617,36393,36581,6217700
9/6/2021,38606,38606,37005,37005,6788200
9/1/2021,35781,38135,35781,37758,8428800
8/31/2021,35404,37570,35169,36487,9613400
8/30/2021,35734,36064,35028,35404,5780940
8/27/2021,32956,35216,32485,35216,7521500
8/26/2021,33521,34275,33098,33427,4533400
8/25/2021,32297,33145,32109,33145,3379900
8/24/2021,32203,32956,31732,32015,6463100
8/23/2021,33992,34745,32203,32203,7321700
8/20/2021,36346,36723,33992,34227,12418100
8/19/2021,35169,36723,35028,36534,6723700
8/18/2021,34839,36064,34698,35357,4797600
8/17/2021,35404,36252,34934,35310,7543100
8/16/2021,33239,35028,32956,35028,10693600
8/13/2021,32109,32862,31591,32768,4717200
8/12/2021,31826,33145,31544,32297,5683500
8/11/2021,32956,33145,32062,32109,6143000
8/10/2021,33380,33474,32768,32956,6385800
8/9/2021,32015,33286,32015,33145,5093700
8/6/2021,32815,33145,32203,32203,5648300
8/5/2021,31450,33098,31073,32815,9045500
8/4/2021,31921,32109,31214,31497,4731200
8/3/2021,31544,31921,30885,31732,4856600
8/2/2021,31073,32391,31073,31544,6191700
7/30/2021,31356,31826,31120,31732,5202800
7/29/2021,30743,31356,30320,31214,4267600
7/28/2021,30649,31261,30414,30743,4193500
7/27/2021,31073,31544,30649,30885,4462000
7/26/2021,29190,30602,29002,30602,5022000
7/23/2021,29284,30461,29143,29190,6441700
7/22/2021,28437,29896,28201,29661,4436600
7/21/2021,29190,29472,28248,28437,2458700
7/20/2021,28201,29002,27307,29002,4154800
7/19/2021,28248,29002,27495,27495,5437700
7/16/2021,28719,30084,28719,29519,4052300
7/15/2021,27165,28813,27165,28719,3199200
7/14/2021,28013,29002,26742,27589,3722500
7/13/2021,27872,28719,27495,28248,3515700
7/12/2021,28248,28907,27683,27683,7085300
7/9/2021,31167,31826,29755,29755,9414700
7/8/2021,32815,32815,31544,31968,3886500
7/7/2021,32203,32674,30131,32627,5960900
7/6/2021,34604,35499,31826,31826,7988200
7/5/2021,33992,34463,33521,34180,4525200
7/2/2021,34275,34604,33898,34086,3962500
7/1/2021,33050,34698,32956,34275,6757400
6/30/2021,33427,33757,32956,32956,3729600
6/29/2021,33898,34792,33521,33615,4640000
6/28/2021,33050,34369,32580,34180,6892600
6/25/2021,32768,33145,32485,32909,3659300
6/24/2021,31308,33380,31308,32768,5819900
6/23/2021,32203,32485,31167,31544,7695500
6/22/2021,32956,33192,32297,32344,5940700
6/21/2021,32203,33239,31921,32485,6685400
6/18/2021,31968,33804,31450,32485,8936800
6/17/2021,29519,32015,29378,31968,9882200
6/16/2021,30602,30979,30037,30179,7694800
6/15/2021,28248,29943,28060,29943,9611200
6/14/2021,27683,28437,27307,28013,5243000
6/11/2021,27118,27825,26742,27448,4200500
6/10/2021,26836,27589,26365,26836,4218400
6/9/2021,27307,28154,26365,27589,5540700
6/8/2021,28813,29566,27542,27542,5410600
6/7/2021,28907,29755,28531,29566,10302900
6/4/2021,27212,28342,27118,28154,9284000
6/3/2021,26648,27118,25941,26836,6501800
6/2/2021,26365,26459,25423,26224,5018100
6/1/2021,26789,27024,26365,26695,5077400
5/31/2021,27118,27307,26459,26930,4910100
5/28/2021,26365,27118,26365,27071,5572400
5/27/2021,25941,27212,25612,26224,6655100
5/26/2021,25235,26177,25047,25847,6327300
5/25/2021,26271,26271,25141,25423,5599400
5/24/2021,24623,25518,24623,25518,6726600
5/21/2021,23258,24482,23069,23870,3409100
5/20/2021,23823,23823,22975,23258,4030800
5/19/2021,23352,24199,23352,23870,2813000
5/18/2021,23823,24011,23258,23352,3064400
5/17/2021,24764,24764,23823,23870,3533900
5/14/2021,24953,25423,24529,24764,2819600
5/13/2021,25423,26224,24953,24953,5698900
5/12/2021,24011,25423,23917,25423,6321300
5/11/2021,23540,24199,23352,23776,2824000
5/10/2021,23069,23493,22646,23211,2429700
5/7/2021,23823,24058,23258,23352,2869700
5/6/2021,23729,24388,23540,23823,2554200
5/5/2021,23540,24058,23540,23776,3182300
5/4/2021,23352,23964,22693,23776,2156600
4/29/2021,24482,24764,23729,24246,3166900
4/28/2021,22693,23540,22693,23540,3208300
4/27/2021,22316,22646,21375,22034,1511800
4/26/2021,22834,23870,22269,22316,2916700
4/23/2021,21939,22834,21469,22834,3654300
4/22/2021,23587,23729,22081,22081,4710300
4/20/2021,24576,24717,23540,23729,2802600
4/19/2021,23634,24670,23634,24482,2789500
4/16/2021,24953,24953,23446,24011,5199800
4/15/2021,25753,25894,25047,25094,3301600
4/14/2021,25518,25941,25329,25753,3282300
4/13/2021,26742,26742,25847,25941,4556700
4/12/2021,26930,27024,26695,26742,2902600
4/9/2021,26742,27260,26742,26836,3044000
4/8/2021,26648,27024,26271,26742,3152300
4/7/2021,26083,26365,25847,26365,2684700
4/6/2021,26459,26648,26271,26271,2465500
4/5/2021,26742,26836,26459,26648,2106700
4/2/2021,27024,27307,26506,26648,2291800
4/1/2021,26177,26836,26130,26789,2484100
3/31/2021,26553,26648,26130,26177,2116900
3/30/2021,26224,26695,26083,26553,2115700
3/29/2021,26083,26271,25800,26224,1674300
3/26/2021,25423,25894,24199,25706,5217700
3/25/2021,26600,26930,25753,25988,4806600
3/24/2021,26883,27542,26318,26506,3693600
3/23/2021,27966,28248,27307,27636,4188700
3/22/2021,28719,28719,27872,27966,3121400
3/19/2021,28531,28813,28154,28248,3339800
3/18/2021,28248,29096,27966,28907,3849200
3/17/2021,27872,28060,27401,27966,2819700
3/16/2021,28389,28531,27495,27730,4671800
3/15/2021,29096,29190,28484,28531,2472900
3/12/2021,28060,29566,27872,29096,8710200
3/11/2021,27777,28201,27542,27777,5317600
3/10/2021,27118,27589,26836,27307,2563700
3/9/2021,26553,27589,26553,27024,2056200
3/8/2021,27777,28248,27118,27683,3627300
3/5/2021,26648,27777,26365,27354,3738100
3/4/2021,27872,27966,26459,27071,4337000
3/3/2021,28060,28342,27777,27872,2908600
3/2/2021,28154,28907,27542,28154,5774500
3/1/2021,27872,28342,27401,27777,3977200
2/26/2021,26177,27307,26177,27165,4192500
2/25/2021,27495,27495,26648,27212,3505700
2/24/2021,28437,28907,26836,27118,4418300
2/23/2021,26224,28154,25518,28154,8396300
2/22/2021,26553,26789,25894,26318,4211000
2/19/2021,26459,27307,25941,26459,8269200
2/18/2021,25847,25847,25847,25847,3308500
2/17/2021,23587,24199,23540,24199,1392600
2/9/2021,22504,23352,21845,22646,3756400
2/8/2021,24199,24388,22552,22552,5368300
2/5/2021,23964,24482,23587,24199,3434800
2/4/2021,23823,24764,23446,23964,4257800
2/3/2021,22693,23540,22034,23540,3765800
2/2/2021,21469,22457,20339,22034,6577200
2/1/2021,22599,24293,21375,21375,5967800
1/29/2021,22928,24623,22928,22975,12775800
1/28/2021,24623,24623,24623,24623,501600
1/27/2021,27118,28060,26459,26459,5670400
1/26/2021,30555,30555,28437,28437,5595300
1/25/2021,29708,31026,29708,30555,4896700
1/22/2021,30037,31261,29378,30226,6470800
1/21/2021,29614,30037,28531,29990,5031100
1/20/2021,30131,30131,27777,29190,5355900
1/19/2021,31356,31968,29190,29849,5926700
1/18/2021,30320,32203,29990,31356,7249300
1/15/2021,30602,31026,30037,30508,5477800
1/14/2021,30602,31921,30508,30743,7396400
1/13/2021,28719,29990,28719,29990,16151200
1/12/2021,27683,28107,27307,28060,3876400
1/11/2021,27919,28201,26836,27636,5430200
1/8/2021,26836,28248,26271,27307,6705900
1/7/2021,27212,27307,26459,26648,6324200
1/6/2021,27966,28013,26836,27071,6482500
1/5/2021,28060,28484,27401,27777,5766300
1/4/2021,28295,29708,27730,27730,7353500
31/12/2020,27118,28248,26365,28201,4707730
30/12/2020,27683,28342,26459,26836,5020230
29/12/2020,28154,29002,27212,27777,7712850
28/12/2020,28672,29284,27495,28672,6359260
25/12/2020,26365,27401,25941,27401,5589590
24/12/2020,27307,27307,24199,25612,9525620
23/12/2020,29143,29143,25376,25988,3522880
22/12/2020,27260,27260,26930,27260,1853210
21/12/2020,24670,25518,24576,25518,3451680
18/12/2020,23446,23870,22881,23870,3881450
17/12/2020,21657,23211,21469,22599,4909320
16/12/2020,21892,22363,21751,21939,3528920
15/12/2020,21186,22363,20857,21892,4905500
14/12/2020,19774,21045,19774,21045,5534040
11/12/2020,18926,19774,18738,19680,4719070
10/12/2020,19209,19585,18738,18785,3775710
12/9/2020,18926,20056,18926,19256,5111400
12/8/2020,19256,19444,18926,19115,3509780
12/7/2020,19303,19821,19115,19115,4335970
12/4/2020,17891,18879,17655,18879,6208970
12/3/2020,17702,17843,17514,17655,2618260
12/2/2020,17608,17985,17420,17702,3181530
12/1/2020,17043,17655,17043,17561,3758590
30/11/2020,18079,18079,17514,17514,3181380
27/11/2020,18173,18267,17938,17938,2977160
26/11/2020,17985,18361,17843,18267,5644050
25/11/2020,17608,17891,17326,17796,3225870
24/11/2020,17420,17561,16761,17231,5685550
23/11/2020,17561,17796,17279,17420,4154160
20/11/2020,18173,18220,17561,17891,2787350
19/11/2020,17891,18173,17420,18173,5577100
18/11/2020,16855,17891,16808,17891,5218420
17/11/2020,15913,16855,15631,16855,6667140
16/11/2020,15960,15960,15489,15772,6529880
13/11/2020,15913,16243,15678,16007,5142170
12/11/2020,15537,16007,15395,15960,5971020
11/11/2020,14877,15395,14736,15348,5176010
10/11/2020,14501,15207,14360,14877,6147770
11/9/2020,14360,14548,14171,14501,4668100
11/6/2020,14030,14501,14030,14360,3208490
11/5/2020,14360,14454,14030,14030,6436840
11/4/2020,14501,14689,14265,14595,4661700
11/3/2020,13795,14689,13747,14595,11245530
11/2/2020,13512,13747,13418,13747,5148980
30/10/2020,13088,13371,12900,13324,3448190
29/10/2020,12712,13088,12429,12900,4416080
28/10/2020,13230,13653,12618,12618,5397380
27/10/2020,13465,13559,13230,13277,2472800
26/10/2020,13747,14030,13465,13465,3825590
23/10/2020,13465,13795,13230,13512,3363120
22/10/2020,13230,13465,13088,13465,4576950
21/10/2020,13889,13889,13371,13371,5007720
20/10/2020,13936,14312,13700,13889,3392500
19/10/2020,13324,13983,13135,13936,6244920
16/10/2020,12806,13135,12570,13135,5393350
15/10/2020,13041,13041,12618,12759,5368820
14/10/2020,13183,13371,12806,12900,5062320
13/10/2020,12806,13277,12570,13183,4789720
12/10/2020,12900,13324,12759,12853,5012600
10/9/2020,12618,12994,12523,12900,5300430
10/8/2020,12100,12570,11958,12476,5940910
10/7/2020,11958,12147,11958,12006,1706390
10/6/2020,12429,12618,12100,12147,2550590
10/5/2020,11629,12335,11535,12241,5306360
10/2/2020,11629,11676,11158,11535,2204010
10/1/2020,11770,11770,11582,11629,1186560
9/30/2020,11441,11676,11346,11629,1047030
9/29/2020,11582,11817,11393,11441,3437390
9/28/2020,11346,11441,11346,11441,1059040
9/25/2020,11393,11441,11299,11346,615730
9/24/2020,11299,11535,11299,11393,1267760
9/23/2020,11582,11582,11346,11393,1441290
9/22/2020,11629,11629,11441,11535,1392490
9/21/2020,11490,11669,11400,11535,1928720
9/18/2020,11445,11490,11400,11445,959790
9/17/2020,11400,11535,11310,11445,1206290
9/16/2020,11221,11445,11176,11355,1136120
9/15/2020,11400,11490,11131,11221,2587430
9/14/2020,11490,11535,11310,11310,2150970
9/11/2020,11400,11535,11265,11535,1349140
9/10/2020,11265,11535,11131,11490,2360230
9/9/2020,10951,11221,10951,11131,2240400
9/8/2020,10817,11221,10772,10951,4063740
9/7/2020,10682,10951,10592,10682,1491100
9/4/2020,10682,10817,10637,10772,1132370
9/3/2020,10951,10996,10817,10906,1000990
9/1/2020,10592,10906,10502,10906,1998840
8/31/2020,10861,10906,10547,10637,1824490
8/28/2020,11086,11176,10817,10817,1574520
8/27/2020,10727,11176,10727,11086,2316970
8/26/2020,10458,10906,10458,10682,1924850
8/25/2020,10772,10772,10547,10547,1301610
8/24/2020,10772,10861,10637,10727,1577760
8/21/2020,10502,10682,10413,10637,1617030
8/20/2020,10323,10592,10323,10502,2233930
8/19/2020,10054,10502,10009,10323,2352360
8/18/2020,9829,10098,9784,9919,1218730
8/17/2020,9784,9829,9605,9829,750960
8/14/2020,9874,10009,9695,9784,974910
8/13/2020,9964,10233,9874,9874,1959970
8/12/2020,9964,10009,9874,9964,597590
8/11/2020,10098,10098,9874,9964,737560
8/10/2020,9560,10143,9515,10009,2894230
8/7/2020,9470,9605,9425,9515,631730
8/6/2020,9470,9650,9470,9515,608120
8/5/2020,9380,9739,9246,9560,2250080
8/4/2020,9425,9515,9291,9380,995960
8/3/2020,8976,9291,8976,9291,820600
7/31/2020,8797,9201,8797,8976,998760
7/30/2020,9156,9246,9021,9066,1120870
7/29/2020,8976,9291,8851,9201,1869490
7/28/2020,9021,9515,9021,9515,1756390
7/27/2020,9425,9605,9201,9201,2885330
7/24/2020,10368,10682,9874,9874,2780370
7/23/2020,10502,10547,10323,10323,1064300
7/22/2020,10727,10861,10502,10547,730770
7/21/2020,10951,10951,10682,10727,805830
7/20/2020,10861,11176,10817,10861,1427490
7/17/2020,10727,10996,10682,10861,900470
7/16/2020,10906,10996,10772,10817,751420
7/15/2020,11041,11041,10861,10861,503920
7/14/2020,10861,11041,10772,10861,1279860
7/13/2020,10682,11086,10682,10682,1994010
7/10/2020,10592,10682,10547,10682,657210
7/9/2020,10458,10637,10458,10637,988260
7/8/2020,10458,10592,10233,10458,833270
7/7/2020,10682,10727,10413,10458,1010980
7/6/2020,10592,10682,10502,10682,575100
7/3/2020,10413,10637,10413,10458,1155100
7/2/2020,10233,10502,10188,10368,878030
7/1/2020,9919,10413,9919,10323,736830
6/30/2020,10233,10547,9874,9874,1132600
6/29/2020,10682,10772,10143,10233,2278110
6/26/2020,10861,11086,10682,10682,1459690
6/25/2020,10951,11041,10817,10817,1042720
6/24/2020,11310,11310,10996,11041,967980
6/23/2020,11176,11490,11086,11265,1512990
6/22/2020,11400,11400,11131,11176,1125510
6/19/2020,11176,11445,11176,11310,1155640
6/18/2020,10861,11490,10861,11041,1281740
6/17/2020,11490,11490,11131,11131,1329740
6/16/2020,11669,11669,11355,11445,1094900
6/15/2020,11221,11669,10996,11131,3885010
6/12/2020,10772,11176,10592,10906,3393630
6/11/2020,11894,12163,11221,11221,3535100
6/10/2020,12253,12253,11804,11894,2746460
6/9/2020,11669,12477,11669,12253,4848970
6/8/2020,11669,11894,11535,11669,3376560
6/5/2020,11400,11580,11310,11580,1368660
6/4/2020,11669,11804,11400,11400,1429580
6/3/2020,11265,11669,11221,11669,1682780
6/2/2020,11535,11624,11221,11265,1401600
6/1/2020,11490,11624,11490,11535,1375080
5/29/2020,11400,11580,11355,11445,1480440
5/28/2020,11355,11580,11265,11445,1925610
5/27/2020,11849,11849,11400,11400,2320830
5/26/2020,11984,12073,11714,11759,2026130
5/25/2020,11310,11804,11131,11759,4024580
5/22/2020,11400,11535,11131,11221,1401180
5/21/2020,11580,11894,11400,11490,2381570
5/20/2020,11041,11535,11041,11490,1345440
5/19/2020,11355,11445,11041,11041,2001060
5/18/2020,10817,11086,10592,11041,680550
5/15/2020,11041,11176,10772,10817,1116140